customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Churn,tenure,MonthlyCharges,TotalCharges
7590-VHVEG,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,1,29.85,29.85
5575-GNVDE,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,3,0,34,56.95,1889.5
3668-QPYBK,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,3,1,2,53.85,108.15
7795-CFOCW,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,45,42.3,1840.75
9237-HQITU,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,1,2,70.7,151.65
9305-CDSKC,0,0,0,0,1,1,1,0,0,1,0,1,2,0,1,2,1,8,99.65,820.5
1452-KIOVK,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,22,89.1,1949.4
6713-OKOMC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,10,29.75,301.9
7892-POOKP,0,0,1,0,1,1,1,0,0,1,1,1,2,0,1,2,1,28,104.8,3046.05
6388-TABGU,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,62,56.15,3487.95
9763-GRSKD,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,3,0,13,49.95,587.45
7469-LKBCI,1,0,0,0,1,0,2,0,0,0,0,0,1,2,0,1,0,16,18.95,326.8
8091-TTVAX,1,0,1,0,1,1,1,0,0,1,0,1,2,1,0,1,0,58,100.35,5681.1
0280-XJGEX,1,0,0,0,1,1,1,0,1,1,0,1,2,0,1,0,1,49,103.7,5036.3
5129-JLPIS,1,0,0,0,1,0,1,1,0,1,1,1,2,0,1,2,0,25,105.5,2686.05
3655-SNQYZ,0,0,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,69,113.25,7895.15
8191-XWSZG,0,0,0,0,1,0,2,0,0,0,0,0,1,1,0,3,0,52,20.65,1022.95
9959-WOFKT,1,0,0,1,1,1,1,1,0,1,0,1,2,2,0,0,0,71,106.7,7382.25
